    -.1365         -.0300
    -.0769         -.0584
    -.0575         -.0181
    0.0526         0.0306
    -.0449         -.0397
    -.0859         -.0295
    -.0742         -.0316
    0.6879         0.1176
    -.0770         0.0075
    0.0850         0.1098
    0.0030         0.0408
    0.0754         0.0095
    -.0412         0.0301
    -.0890         0.0221
    0.2319         0.0269
    0.1087         0.0655
    0.0375         -.0030
    0.0958         0.0325
    0.0174         -.0374
    -.0724         0.0049
    0.0750         0.0105
    -.0588         -.0257
    -.0620         0.0186
    -.0378        -.0155
    0.0169        -.0165
    -.0799        -.0440
    -.0147        0.0094
    0.0106        -.0028
    -.0421        -.0591
    -.0036        0.0158
    0.0876        -.0238
    0.1025        0.1031
    -.0499        -.0065
    0.1953        -.0067
    -.0714        -.0167
    0.0469        0.0188
    0.1311        0.0733
    0.0461        0.0105
    -.0328        -.0070
    -.0096        -.0099
    0.1272        0.0521
    -.0077        0.0117
    0.0165        -.0099
    -.0150        -.0102
    -.1479        -.0428
    -.0065        0.0376
    0.0390        0.0628
    0.0223        0.0391
    -.0690        0.0002
    0.1338        0.0688
    0.1458        0.0486
    0.0063        -.0174
    0.0692        0.0460
    -.0239        0.0100
    -.0568        -.0594
    0.0814        0.0680
    -.0889        -.0839
    -.0887        0.0481
    0.1037        0.0136
    -.1163        -.0322
